            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457034.500000000, A.D. 2015-Jan-12 00:00:00.0000,  2.378348995162164E+08, -3.522181234362959E+07,  3.376711295428565E+07, -1.402192812728696E+00,  2.186824549947242E+01,  2.137834617087992E+00,  8.098551099283374E+02,  2.427884540292764E+08, -4.248723964720952E+00,
2457035.500000000, A.D. 2015-Jan-13 00:00:00.0000,  2.377055070546511E+08, -3.333119708942443E+07,  3.395064914664889E+07, -1.593130680424380E+00,  2.189576433646848E+01,  2.110643147065889E+00,  8.086265402628762E+02,  2.424201381094436E+08, -4.277079766735833E+00,
2457036.500000000, A.D. 2015-Jan-14 00:00:00.0000,  2.375595845271104E+08, -3.143826458793077E+07,  3.413182426344041E+07, -1.784832693616033E+00,  2.192188311053219E+01,  2.083179918191153E+00,  8.073898226082358E+02,  2.420493794839070E+08, -4.305267569722838E+00,
2457037.500000000, A.D. 2015-Jan-15 00:00:00.0000,  2.373970660522442E+08, -2.954313642207705E+07,  3.431061478022335E+07, -1.977295568185716E+00,  2.194658749838128E+01,  2.055443901639233E+00,  8.061450058237735E+02,  2.416761928003334E+08, -4.333284296740110E+00,
2457038.500000000, A.D. 2015-Jan-16 00:00:00.0000,  2.372178860388297E+08, -2.764593541998442E+07,  3.448699708384009E+07, -2.170515871634290E+00,  2.196986299924417E+01,  2.027434072619393E+00,  8.048921396631155E+02,  2.413005929744847E+08, -4.361126818726865E+00,
2457039.500000000, A.D. 2015-Jan-17 00:00:00.0000,  2.370219791987752E+08, -2.574678567034063E+07,  3.466094747278868E+07, -2.364490018830517E+00,  2.199169493395679E+01,  1.999149411024882E+00,  8.036312747892546E+02,  2.409225951947441E+08, -4.388791953990777E+00,
2457040.500000000, A.D. 2015-Jan-18 00:00:00.0000,  2.368092805604908E+08, -2.384581253785349E+07,  3.483244215765651E+07, -2.559214267773418E+00,  2.201206844401862E+01,  1.970588902108094E+00,  8.023624627897818E+02,  2.405422149266822E+08, -4.416276467781866E+00,
2457041.500000000, A.D. 2015-Jan-19 00:00:00.0000,  2.365797254826247E+08, -2.194314267878927E+07,  3.500145726161321E+07, -2.754684715346511E+00,  2.203096849056370E+01,  1.941751537175326E+00,  8.010857561922300E+02,  2.401594679176574E+08, -4.443577071935350E+00,
2457042.500000000, A.D. 2015-Jan-20 00:00:00.0000,  2.363332496681690E+08, -2.003890405660488E+07,  3.516796882096433E+07, -2.950897293022880E+00,  2.204837985321075E+01,  1.912636314294901E+00,  7.998012084795149E+02,  2.397743702014442E+08, -4.470690424550416E+00,
2457043.500000000, A.D. 2015-Jan-21 00:00:00.0000,  2.360697891789402E+08, -1.813322595768574E+07,  3.533195278576630E+07, -3.147847762463200E+00,  2.206428712876951E+01,  1.883242239011726E+00,  7.985088741054689E+02,  2.393869381028910E+08, -4.497613129658869E+00,
2457044.500000000, A.D. 2015-Jan-22 00:00:00.0000,  2.357892804504472E+08, -1.622623900720135E+07,  3.549338502050343E+07, -3.345531710937888E+00,  2.207867472980771E+01,  1.853568325062861E+00,  7.972088085104764E+02,  2.389971882426070E+08, -4.524341736830023E+00,
2457045.500000000, A.D. 2015-Jan-23 00:00:00.0000,  2.354916603071650E+08, -1.431807518508992E+07,  3.565224130482646E+07, -3.543944546503610E+00,  2.209152688310770E+01,  1.823613595090435E+00,  7.959010681372434E+02,  2.386051375416897E+08, -4.550872740658313E+00,
2457046.500000000, A.D. 2015-Jan-24 00:00:00.0000,  2.351768659782378E+08, -1.240886784217899E+07,  3.580849733435270E+07, -3.743081492881456E+00,  2.210282762807196E+01,  1.793377081352498E+00,  7.945857104467303E+02,  2.382108032265016E+08, -4.577202580096118E+00,
2457047.500000000, A.D. 2015-Jan-25 00:00:00.0000,  2.348448351136386E+08, -1.049875171644340E+07,  3.596212872152761E+07, -3.942937584007668E+00,  2.211256081514940E+01,  1.762857826435564E+00,  7.932627939343063E+02,  2.378142028335131E+08, -4.603327637613905E+00,
2457048.500000000, A.D. 2015-Jan-26 00:00:00.0000,  2.344955058008138E+08, -8.587862949395474E+06,  3.611311099654824E+07, -4.143507658254594E+00,  2.212071010436628E+01,  1.732054883976140E+00,  7.919323781461687E+02,  2.374153542142254E+08, -4.629244238191589E+00,
2457049.500000000, A.D. 2015-Jan-27 00:00:00.0000,  2.341288165818407E+08, -6.676339102594957E+06,  3.626141960834970E+07, -4.344786352357676E+00,  2.212725896402862E+01,  1.700967319400637E+00,  7.905945236960739E+02,  2.370142755401852E+08, -4.654948648176626E+00,
